ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
S129,b,d,1215,16,d,a,d,a,d,b,c,b,c,b,c,b,a,a,b,d,a,c,d,a,b
S133,b,a,1215,32,c,a,d,c,bcde,b,c,a,c,a,acd,e,b,b,a,d,c,d,c,c,c
S131,b,d,1215,16,d,b,d,a,de,b,c,a,c,b,c,d,b,b,c,d,a,c,d,a,c
S139,b,d,1215,16,d,a,d,a,de,b,c,d,d,b,c,d,e,b,c,d,b,d,d,a,b
S148,b,d,1215,24,b,a,d,a,acdef,a,c,c,b,b,c,d,a,a,b,b,b,a,d,c,a
S154,b,d,1215,8,d,c,d,a,de,b,c,b,a,a,c,d,a,a,c,d,b,c,d,b,b
S156,b,d,1215,16,c,c,d,b,de,b,c,a,c,b,c,b,a,b,c,d,b,b,d,b,b
S152,b,d,1215,16,c,b,b,c,de,d,a,d,c,b,c,d,c,b,c,d,b,b,d,c,c
S146,a,d,1215,31,d,a,d,b,abcdef,a,c,a,d,b,abcd,b,a,a,c,d,b,b,,,
S150,b,d,1215,8,c,b,d,a,d,b,c,a,d,b,c,b,e,a,c,d,b,c,a,b,c
S140,c,a,555,16,a,a,d,a,abcd,b,a,a,c,b,d,c,e,b,c,b,b,b,d,d,b
S144,a,d,1215,16,b,a,d,a,bd,b,c,a,d,b,c,b,a,b,d,d,a,c,a,b,b
S142,b,a,1215,8,d,a,d,a,def,b,a,c,d,b,d,e,e,b,b,d,b,b,d,c,b
S157,b,d,675,32,a,a,d,c,cde,b,c,a,a,d,d,d,b,b,a,d,a,a,d,b,b
S159,b,a,1215,12,b,b,d,b,acd,a,c,a,b,b,a,b,e,b,c,d,a,b,b,b,b
S161,a,a,486,31,d,b,d,d,cde,c,c,c,c,b,c,b,e,b,c,b,b,d,c,d,b
S171,a,c,1215,16,a,a,c,a,cdf,c,c,c,d,b,c,d,c,b,c,d,b,b,c,a,b
S175,b,b,1015,16,b,c,d,a,c,b,c,b,b,c,d,c,b,b,b,b,a,d,b,c,b
S167,b,e,1215,16,b,a,d,a,bcde,b,a,b,a,a,a,b,d,b,c,b,b,a,c,c,c
S172,c,,810,16,c,a,b,a,be,d,c,d,c,a,b,e,b,b,c,a,c,b,b,d,a
S163,a,a,1215,8,c,a,d,a,e,b,c,d,a,a,c,d,a,c,d,c,d,c,c,a,c
S165,a,d,1215,23,d,a,d,b,a,c,c,c,a,b,a,b,c,b,a,d,a,c,d,c,a
S174,a,a,540,8,c,b,d,b,af,a,d,c,a,b,a,b,e,b,a,d,a,c,d,c,a
S188,a,c,465,8,d,a,d,b,cd,b,d,d,c,a,a,c,e,b,b,b,c,d,c,,
S179,a,a,1215,16,d,b,d,c,cde,c,c,c,d,b,c,c,e,b,c,,,,,,
S190,a,d,1215,16,b,c,c,a,e,a,c,b,d,d,d,d,e,c,c,c,b,b,c,b,c
S177,a,e,510,2,b,b,b,d,ae,a,b,c,a,d,c,d,d,a,d,a,c,c,c,a,c
S181,a,a,560,15,b,a,d,c,acf,a,d,c,c,b,a,b,a,b,b,b,b,c,c,b,d
S183,b,d,810,6,b,a,d,d,acd,a,c,d,a,b,a,d,a,b,b,d,b,c,a,b,b
S189,a,d,540,64,c,d,c,d,bce,b,c,b,c,c,b,a,e,c,d,b,a,d,c,d,b
S192,b,c,675,23,b,b,b,c,d,c,b,b,d,a,a,d,a,b,b,c,d,b,b,c,a
S194,b,a,675,31,c,d,d,a,ef,a,c,c,b,b,c,d,a,d,a,b,,,,,
S196,a,a,1215,8,b,b,d,d,cde,c,b,c,b,b,c,d,d,a,d,d,c,a,c,d,b
S202,c,a,1215,8,c,b,a,c,cde,b,a,c,c,c,b,d,e,c,c,d,e,a,d,c,a
S204,a,d,1215,16,c,a,d,a,ace,c,c,c,c,c,a,c,c,c,c,c,a,c,b,c,c
S198,a,d,810,16,a,c,d,b,acf,b,c,a,c,d,c,c,a,d,a,b,a,a,b,d,b
S205,a,a,810,16,d,a,d,d,a,a,d,d,d,c,c,,e,b,b,b,b,d,b,b,c
S207,a,d,505,6,b,b,d,a,df,c,c,c,c,a,a,b,e,b,c,b,c,b,c,d,c
S200,a,a,495,16,c,c,d,c,abcf,d,b,b,c,b,a,e,b,a,c,a,a,b,b,d,c
S208,b,d,1215,16,a,a,a,a,e,c,,,,,,,,,,,,,,,
S210,a,d,1215,16,d,b,d,c,cde,b,c,c,d,a,c,d,d,b,c,d,c,b,a,a,c
S224,a,d,1215,16,c,d,b,a,def,b,a,c,c,b,c,d,d,b,c,d,b,b,a,b,d
S220,a,d,435,16,c,a,d,d,de,b,c,c,c,b,c,b,e,b,c,d,c,d,b,a,c
S218,b,d,1215,31,a,a,d,a,de,b,c,a,a,b,c,d,d,b,b,d,b,b,a,b,b
S222,c,c,1105,16,b,b,c,d,ce,a,b,a,d,a,d,c,c,b,c,b,b,b,d,b,c
S226,b,d,1215,16,c,b,d,a,abd,b,c,c,d,b,c,d,e,d,b,d,c,a,c,c,b
S216,b,d,1215,16,c,a,d,a,de,b,c,c,c,b,c,b,e,b,c,d,d,b,d,b,c
S212,a,d,1215,8,c,b,d,a,acd,d,c,a,c,b,a,d,d,a,c,d,c,b,d,b,d
S214,b,d,1215,16,c,b,c,d,bdf,b,c,b,c,b,c,e,e,b,d,d,a,a,b,b,b
S232,b,d,1215,16,d,d,d,d,acd,b,c,d,c,a,d,b,a,a,b,d,b,c,a,a,c
S228,b,d,1215,8,b,c,d,b,abcdef,b,c,c,b,b,a,b,e,,,,,,,,
S230,a,a,1215,24,d,a,d,c,de,c,c,a,d,b,c,b,d,c,b,d,a,c,d,,
S234,b,c,1215,8,c,b,c,b,b,c,a,c,c,c,c,d,c,b,c,d,a,c,c,c,b
S248,a,d,546,8,b,b,c,a,ef,b,c,d,d,c,c,c,a,c,c,b,b,c,c,d,b
S240,a,d,,4,c,a,c,a,e,c,c,b,a,b,c,c,e,b,c,d,d,a,d,d,c
S246,a,d,1215,8,d,a,b,b,acdf,a,c,d,d,c,d,c,e,b,b,d,a,b,a,d,d
S238,b,d,435,16,c,c,c,a,de,c,a,d,b,b,c,e,b,b,c,d,b,a,d,b,c
S236,c,d,1250,16,a,a,c,b,cde,a,c,a,d,b,a,c,e,b,c,b,c,b,d,d,d
S244,b,d,1215,24,b,b,d,b,e,b,c,c,c,b,c,c,b,a,c,d,a,b,a,b,b
S242,b,d,1215,8,a,a,d,d,d,b,c,b,d,c,c,a,e,b,c,d,b,b,b,d,b
S263,a,a,1215,31,c,b,d,b,cdf,b,c,c,a,b,a,b,e,b,a,d,c,d,b,b,b
S261,a,d,1215,12,d,b,d,a,ae,b,d,c,c,a,a,b,b,b,c,b,d,a,c,b,
S268,b,d,125,16,c,a,d,d,de,b,a,,d,b,c,e,a,a,b,d,c,a,d,,
S266,a,a,1215,16,d,d,d,d,be,b,c,a,d,a,d,e,c,b,c,d,c,a,d,b,c
S257,b,d,1215,24,c,c,d,a,ab,b,c,b,d,c,a,d,b,b,c,d,a,b,b,d,c
S259,b,d,1215,16,c,a,d,b,de,b,c,a,d,b,c,b,e,b,c,d,a,c,d,b,c
S253,a,d,1215,32,a,d,d,a,de,b,c,b,d,b,c,d,e,b,b,d,d,c,b,b,b
S251,c,d,1215,16,a,c,b,d,b,a,a,d,a,b,b,b,c,b,c,d,b,a,a,b,c
S264,b,a,1215,30,d,c,d,c,bce,b,c,c,d,a,d,b,d,b,b,d,b,a,d,b,b
S249,a,b,1215,16,c,a,c,b,c,b,b,b,c,c,c,b,c,d,b,c,c,a,b,d,c
S255,a,a,1215,12,d,a,d,a,ef,a,d,d,a,b,c,b,c,b,b,d,b,c,b,d,d
S273,b,a,1080,,c,c,b,d,f,a,a,d,b,b,a,e,b,b,c,d,c,a,,,
S288,b,d,416,,b,c,a,c,d,c,c,b,d,a,c,d,c,,b,c,c,c,b,b,a
S279,b,a,416,,a,c,c,b,d,a,b,a,c,d,a,d,b,a,b,d,d,d,b,a,d
S277,a,b,1215,16,c,b,a,b,e,b,b,a,b,b,a,e,b,c,a,d,b,c,c,d,c
S275,b,,,8,a,c,,,,b,b,c,,a,a,,,b,,,c,,,,
S286,c,a,600,8,d,b,c,c,c,a,d,a,b,c,b,c,c,c,c,b,c,a,c,c,a
S271,a,c,,,a,b,d,c,a,a,b,d,a,a,a,d,b,b,a,a,b,c,a,b,b
S285,b,e,810,8,c,d,c,b,f,b,d,b,c,b,c,d,e,d,d,b,b,c,b,b,b
S281,a,a,,,a,a,a,b,e,a,a,a,c,b,a,a,a,a,d,d,a,a,b,b,b
S283,a,a,,10,c,c,d,,de,a,c,b,d,b,b,a,c,b,c,d,a,,b,a,b
S290,a,b,,,b,b,b,b,d,d,b,a,d,b,c,b,b,c,c,d,a,a,a,c,d
S269,c,c,705,32,c,a,d,d,cdef,d,a,d,c,d,b,b,d,c,c,b,,,,,
S295,c,d,540,8,c,a,a,c,a,c,b,b,a,c,b,d,a,a,d,b,b,b,b,a,c
S293,c,a,97.5,16,d,b,c,d,abd,c,a,d,c,d,a,d,b,b,a,d,b,a,d,b,c
S313,a,a,1215,6,d,b,c,c,ac,a,c,d,d,a,a,d,e,b,a,d,b,d,a,b,d
S291,a,b,810,14,b,a,a,c,ad,a,b,d,c,a,a,a,b,b,c,b,b,c,b,c,b
S297,a,c,625,10,d,a,d,b,cd,c,c,d,a,b,c,b,e,b,c,c,b,a,a,b,c
S311,c,e,810,16,c,c,c,c,ade,a,a,d,d,d,d,d,d,b,c,c,b,a,c,c,a
S299,c,e,600,8,a,c,a,b,df,a,d,b,d,a,c,d,d,b,c,b,d,b,a,b,c
S303,b,a,1215,8,c,c,d,d,de,a,c,a,c,a,c,b,a,,,d,a,a,a,b,a
S305,b,d,1215,32,d,d,d,b,def,b,c,c,a,b,c,c,e,b,a,d,b,c,c,b,b
S301,a,d,1215,35,a,b,d,b,a,a,b,c,a,c,b,c,a,a,b,a,b,b,b,c,a
S314,b,c,1215,16,c,b,c,b,c,b,a,c,a,c,c,e,d,b,a,d,b,a,c,b,d
S309,d,a,,8,d,b,a,b,be,a,,a,c,b,b,d,d,a,b,b,d,b,c,d,b
S307,b,d,1215,32,c,a,d,a,c,c,b,a,c,a,c,d,e,d,a,a,a,a,c,a,c
S321,b,a,,8,b,b,c,b,ce,a,a,b,c,b,a,,b,b,d,b,d,,,,
S315,a,a,1215,96,d,c,a,c,bcf,c,a,c,d,c,d,b,b,b,a,d,a,b,b,d,b
S317,b,d,1215,16,c,b,d,a,d,c,a,c,c,a,c,c,b,b,b,d,b,a,a,b,c
S319,a,d,810,16,d,a,c,c,d,a,a,a,c,a,c,d,ce,b,a,d,b,a,d,c,a
S337,b,d,1215,8,d,c,d,d,cf,b,a,c,c,c,c,d,e,b,a,d,d,c,,,
S335,b,c,1215,16,b,c,d,c,de,b,c,b,d,a,c,b,b,a,d,d,b,b,d,c,c
S333,b,d,1215,8,c,a,d,b,e,b,c,c,d,b,c,b,a,b,b,d,a,b,d,b,c
S341,b,a,1215,8,b,a,d,b,d,b,a,c,d,b,c,d,e,b,c,d,b,b,d,a,b
S331,c,e,1215,32,b,b,c,a,c,b,c,a,b,c,b,d,e,c,b,b,d,b,b,c,b
S327,b,d,675,10,c,c,c,b,d,a,d,c,b,a,c,b,d,b,b,b,b,c,c,b,a
S323,a,d,1215,16,d,a,d,a,de,b,a,a,c,b,c,d,e,b,a,d,c,c,d,c,c
S325,b,d,1215,16,b,a,d,d,de,b,c,b,c,b,c,e,e,b,b,d,b,c,a,c,c
S339,,,,6,,,,,,,,,,,,,,,,,,,,,
S329,b,c,810,20,b,b,a,c,bc,c,c,c,c,d,d,e,e,c,a,b,c,d,c,d,d
